year,ciiu_2d,mean_tfp_lp,mean_tfp_wrdg,mean_tfp_acf,sd_tfp_lp,sd_tfp_wrdg,sd_tfp_acf,n_obs
1994,38,7.100894,7.2920823,5.7747884,.80463195,.78481054,.77154338,1290
1995,38,7.7552652,8.0473528,6.2309709,.82540923,.82372737,.78307301,276
1996,38,7.6503086,7.9398031,6.0870328,.81557912,.81416059,.76662403,202
1997,38,7.6285486,7.9178224,6.0490165,.81146091,.80527616,.76701415,205
1998,38,7.4761829,7.7759352,5.8925543,.78272754,.77789843,.74845618,222
1999,38,7.2736549,7.5862384,5.7000628,.76420355,.7737909,.72844583,209
2000,38,7.2829089,7.505815,5.7376604,.82532293,.8027041,.79392141,245
1993,39,6.6074491,6.7134733,7.3905859,1.0872754,1.0825804,1.081502,277
1994,39,6.4743638,6.5840836,7.2791533,1.1094059,1.1062211,1.1180129,258
1995,39,6.7298055,6.8749375,7.7135992,.86231691,.86947215,.92407942,135
1996,39,6.7266612,6.8740811,7.7339234,.71310502,.71723014,.77512181,100
1997,39,6.5626793,6.7130375,7.5818915,.87233692,.87652379,.92901653,117
1998,39,6.5429621,6.6954713,7.5704985,.82631052,.83272809,.88786924,135
1999,39,6.511961,6.6653328,7.5444756,.81849223,.81606197,.83885998,121
2000,39,6.5192089,6.6526318,7.4973493,.84456986,.84385705,.87595987,158
2012,58,,,,,,,0
