ciiu_2d,total_imports,rank
26,66657573289.5098,1
27,26657628375.6875,2
20,15352426221.73903,3
28,12595817400.88988,4
29,10528154669.50072,5
21,10190820948.11774,6
15,8786588014.905113,7
32,7766944178.294183,8
25,6164579050.217657,9
23,5765159822.151147,10
