ciiu_2d,total_imports,rank
26,58173705772.7785,1
27,21852140801.76168,2
28,11198991690.4786,3
29,8935525491.572491,4
20,8026841941.714633,5
21,7784069359.323436,6
15,6859938079.342279,7
25,5986630474.464027,8
32,5009121808.05118,9
23,4891598306.934936,10
