ciiu_2d,n_obs,n_firms,tfp_feasible
15,17588,0,1
10,17022,0,1
25,12561,0,1
18,12451,0,1
22,12106,0,1
32,11047,0,1
36,10209,0,1
31,9613,0,1
14,9364,0,1
28,9342,0,1
24,7714,0,1
20,7464,0,1
29,5840,0,1
23,5423,0,1
17,4727,0,1
21,4174,0,1
38,4048,0,1
19,3930,0,1
26,3859,0,1
35,3816,0,1
27,3259,0,1
34,2965,0,1
13,2920,0,1
16,1795,0,1
33,1441,0,1
39,1301,0,1
11,1010,0,1
37,398,0,1
30,367,0,1
58,145,0,1
73,8,0,0
59,4,0,0
